City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,okha,53.5739,142.9478,15.93,88,100,3.76,RU,1724261344
1,invercargill,-46.4,168.35,3.34,92,42,0.45,NZ,1724261345
2,termas de rio hondo,-27.4998,-64.8604,14.25,74,100,2.71,AR,1724261346
3,yellowknife,62.456,-114.3525,11.9,83,100,8.75,CA,1724261347
4,isafjordur,66.0755,-23.124,7.02,81,75,8.75,IS,1724261348
5,college,64.8569,-147.8028,8.97,80,100,2.57,US,1724261349
6,waitangi,-43.9535,-176.5597,7.12,94,90,1.34,NZ,1724261351
7,albany,42.6001,-73.9662,20.88,58,17,0.89,US,1724261154
8,happy valley-goose bay,53.3168,-60.3315,20.17,40,20,3.6,CA,1724261353
9,nemuro,43.3236,145.575,16.66,90,79,5.29,JP,1724261065
10,priozersk,61.0393,30.1291,17.75,92,99,3.09,RU,1724261355
11,cambria,35.5641,-121.0808,27.36,46,0,2.35,US,1724261356
12,chon daen,16.1895,100.8596,25.22,88,100,0.52,TH,1724261357
13,port elizabeth,-33.918,25.5701,13.16,82,0,16.46,ZA,1724261359
14,ancud,-41.8697,-73.8203,5.55,88,60,2.87,CL,1724261360
15,wailua homesteads,22.0669,-159.378,25.44,90,75,6.69,US,1724261361
16,ribeira grande,38.5167,-28.7,28.22,61,20,3.09,PT,1724261362
17,susuman,62.7833,148.1667,4.05,89,42,1.51,RU,1724261363
18,dudinka,69.4058,86.1778,14.07,64,100,2.85,RU,1724261364
19,birao,10.2849,22.7882,23.04,93,100,3.09,CF,1724261365
20,manalongon,9.2209,122.886,27.79,79,100,0.95,PH,1724261367
21,ushuaia,-54.8,-68.3,7.81,57,0,5.66,AR,1724261310
22,afaahiti,-17.75,-149.2833,22.91,66,77,11.69,PF,1724261369
23,port lincoln,-34.7333,135.8667,11.63,90,43,3.83,AU,1724261370
24,piste,20.7,-88.5833,31.03,70,40,0.0,MX,1724261371
25,puerto natales,-51.7236,-72.4875,3.25,87,20,1.03,CL,1724261372
26,hermanus,-34.4187,19.2345,11.0,58,56,6.11,ZA,1724261375
27,hawaiian paradise park,19.5933,-154.9731,22.72,92,94,0.45,US,1724261376
28,new norfolk,-42.7826,147.0587,11.62,69,48,4.15,AU,1724261377
29,tiksi,71.6872,128.8694,3.26,90,43,2.48,RU,1724261378
30,arraial do cabo,-22.9661,-42.0278,25.98,73,20,4.63,BR,1724261379
31,volchikha,52.0333,80.3833,17.81,57,84,1.86,RU,1724261381
32,lompoc,34.6391,-120.4579,24.52,60,0,3.09,US,1724261123
33,qina,26.1642,32.7267,38.38,6,0,6.63,EG,1724261383
34,presidente olegario,-18.4178,-46.4181,31.13,16,0,4.14,BR,1724261384
35,bethel,41.3712,-73.414,21.99,60,75,2.06,US,1724261191
36,heroica guaymas,27.9333,-110.9,32.65,70,20,0.0,MX,1724261268
37,punta arenas,-53.15,-70.9167,7.06,70,20,8.23,CL,1724261388
38,margaret river,-33.95,115.0667,10.6,81,100,3.56,AU,1724261389
39,colares,38.7992,-9.4469,24.07,74,20,6.17,PT,1724261390
40,stanley,54.868,-1.6985,16.82,78,75,7.72,GB,1724261106
41,blackmans bay,-43.0167,147.3167,10.96,60,64,0.89,AU,1724261392
42,grytviken,-54.2811,-36.5092,-4.6,71,31,10.18,GS,1724261393
43,neftegorsk,52.802,51.166,16.44,53,0,3.62,RU,1724261397
44,taulaga,-11.0553,-171.0883,27.27,78,78,8.75,AS,1724261398
45,nyurba,63.2842,118.3319,13.61,88,95,1.95,RU,1724261399
46,tralee,52.2704,-9.7026,18.14,72,100,9.26,IE,1724261401
47,ghat,24.9647,10.1728,41.0,9,26,3.37,LY,1724261402
48,mangrol,21.1167,70.1167,27.85,86,100,4.7,IN,1724261403
49,ekibastuz,51.6667,75.3667,18.91,55,82,2.92,KZ,1724261404
50,orchard homes,46.8633,-114.0484,22.08,43,0,3.6,US,1724261405
51,kapuskasing,49.4169,-82.4331,20.05,49,40,2.06,CA,1724261406
52,tolanaro,-25.0319,46.9987,22.04,64,20,7.2,MG,1724261407
53,bilibino,68.0546,166.4372,5.73,96,100,1.46,RU,1724261409
54,tyazhinskiy,56.116,88.524,13.7,94,57,5.67,RU,1724261410
55,longyearbyen,78.2186,15.6401,11.91,76,75,9.26,SJ,1724261411
56,talnakh,69.4865,88.3972,14.44,71,99,2.53,RU,1724261412
57,puerto ayora,-0.7393,-90.3518,20.86,92,86,3.58,EC,1724261413
58,stuttgart,48.7823,9.177,21.01,49,0,5.14,DE,1724260946
59,port-aux-francais,-49.35,70.2167,2.99,91,92,13.98,TF,1724261416
60,ust-nera,64.5667,143.2,7.2,70,32,2.35,RU,1724261417
61,udachny,66.4167,112.4,12.61,87,61,1.67,RU,1724261418
62,vodnyy,63.5046,53.4095,10.68,76,10,2.5,RU,1724261419
63,whitehorse,60.7161,-135.0538,8.94,81,20,1.54,CA,1724261420
64,nuuk,64.1835,-51.7216,8.34,71,75,5.14,GL,1724261421
65,edinburgh of the seven seas,-37.0676,-12.3116,11.14,72,22,15.56,SH,1724261422
66,al bayda',32.7627,21.7551,22.83,82,1,5.32,LY,1724261424
67,atafu village,-8.5421,-172.5159,27.99,76,93,9.84,TK,1724261425
68,tambovka,50.0969,128.0489,15.2,86,100,2.46,RU,1724261426
69,uturoa,-16.7333,-151.4333,25.45,59,56,10.66,PF,1724261427
70,kerikeri,-35.2268,173.9474,7.17,92,16,1.51,NZ,1724261428
71,laguna salada,19.6483,-71.0945,33.79,63,0,1.79,DO,1724261429
72,petrolina,-9.3986,-40.5008,32.03,33,20,5.14,BR,1724261307
73,santo antonio do ica,-3.1022,-67.9397,38.38,26,8,1.26,BR,1724261433
74,newborough,52.6389,-0.2233,20.57,54,75,9.26,GB,1724261434
75,kingston,17.997,-76.7936,34.53,66,20,4.12,JM,1724261203
76,lebu,-37.6167,-73.65,10.18,72,100,6.75,CL,1724261436
77,smithers,54.7804,-127.1743,11.18,87,100,1.54,CA,1724261437
78,yakeshi,49.2833,120.7333,13.28,69,100,1.17,CN,1724261439
79,haiku-pauwela,20.9219,-156.3051,24.59,80,33,4.47,US,1724261158
80,cabo san lucas,22.8909,-109.9124,33.75,52,0,5.14,MX,1724261441
81,mount gambier,-37.8333,140.7667,7.01,97,100,2.19,AU,1724261442
82,iqaluit,63.7506,-68.5145,18.85,55,40,8.23,CA,1724261443
83,aras-asan,8.8908,126.3033,26.32,85,99,2.19,PH,1724261444
84,iskateley,67.6803,53.1512,6.68,95,63,2.92,RU,1724261445
85,sault ste. marie,46.5168,-84.3333,22.16,37,0,4.12,CA,1724261447
86,oranjemund,-28.55,16.4333,13.6,75,25,11.13,NA,1724261448
87,adamstown,-25.066,-130.1015,16.74,57,98,8.54,PN,1724261449
88,tazovsky,67.4667,78.7,10.0,80,25,1.72,RU,1724261450
89,radomyshl,50.4961,29.2291,24.98,23,21,2.06,UA,1724261451
90,west island,-12.1568,96.8225,26.99,83,100,2.57,CC,1724261452
91,kone,-21.0595,164.8658,15.69,92,0,2.21,NC,1724261453
92,katabu,-4.9333,122.5167,23.69,91,81,2.02,ID,1724261455
